TimeUS,gpSA,gpHA,gpVA
 221320491, 0.355, 1.307, 2.228
 221520491, 0.357, 1.31, 2.232
 221720492, 0.246, 1.308, 2.223
 221920491, 0.346, 1.308, 2.223
 222120514, 0.338, 1.309, 2.223
 222320626, 0.347, 1.311, 2.223
 222520487, 0.299, 1.311, 2.221
 222720825, 0.284, 1.309, 2.217
 222920840, 0.286, 1.307, 2.214
 223120858, 0.267, 1.305, 2.211
 223320834, 0.287, 1.303, 2.208
 223520963, 0.375, 1.304, 2.212
 223721267, 0.236, 1.301, 2.199
 223921262, 0.435, 1.303, 2.204
 224121507, 0.253, 1.303, 2.196
 224321251, 0.284, 1.303, 2.19
 224521381, 0.32, 1.304, 2.188
 224721253, 0.317, 1.304, 2.188
 224941388, 0.336, 1.305, 2.187
 225121251, 0.25, 1.301, 2.172
 225321256, 0.351, 1.3, 2.173
 225521255, 0.384, 1.301, 2.175
 225721249, 0.358, 1.303, 2.178
 225921489, 0.358, 1.306, 2.182
 226121268, 0.368, 1.308, 2.187
 226321246, 0.367, 1.308, 2.186
 226521260, 0.38, 1.309, 2.189
 226721252, 0.349, 1.309, 2.191
 226921228, 0.35, 1.309, 2.191
 227121271, 0.335, 1.309, 2.189
 227321255, 0.317, 1.309, 2.186
 227521251, 0.391, 1.31, 2.186
 227721529, 0.334, 1.31, 2.185
 227921245, 0.324, 1.311, 2.185
 228121264, 0.28, 1.311, 2.184
 228321233, 0.31, 1.311, 2.185
 228521259, 0.339, 1.311, 2.183
 228721460, 0.358, 1.311, 2.184
 228921254, 0.335, 1.311, 2.185
 229121275, 0.347, 1.31, 2.186
 229321244, 0.308, 1.309, 2.186
 229501622, 0.309, 1.31, 2.185
 229721262, 0.227, 1.307, 2.178
 229921259, 0.299, 1.304, 2.181
 230121667, 0.285, 1.302, 2.183
 230321648, 0.468, 1.305, 2.192
 230525844, 0.339, 1.309, 2.193
 230704618, 0.268, 1.308, 2.184
 230927542, 0.448, 1.31, 2.191
 231127758, 0.329, 1.313, 2.194
 231308065, 0.325, 1.312, 2.196
 231508035, 0.332, 1.312, 2.197
 231708061, 0.366, 1.312, 2.2
 231908275, 0.354, 1.313, 2.2
 232108044, 0.316, 1.313, 2.199
 232308047, 0.296, 1.313, 2.197
 232508063, 0.427, 1.312, 2.201
 232708055, 0.342, 1.311, 2.204
 232908027, 0.475, 1.313, 2.212
 233128069, 0.357, 1.316, 2.218
 233308501, 0.318, 1.316, 2.22
 233508506, 0.377, 1.317, 2.224
 233708691, 0.354, 1.319, 2.228
 233908840, 0.386, 1.322, 2.233
 234130678, 0.395, 1.324, 2.236
 234309234, 0.346, 1.327, 2.238
 234509236, 0.353, 1.329, 2.242
 234709382, 0.341, 1.331, 2.244
 234909220, 0.335, 1.333, 2.247
 235109252, 0.328, 1.335, 2.248
 235309236, 0.328, 1.337, 2.25
 235530832, 0.345, 1.339, 2.254
 235709261, 0.322, 1.341, 2.256
 235909235, 0.356, 1.343, 2.258
 236109296, 0.351, 1.344, 2.259
 236309221, 0.372, 1.347, 2.262
 236509233, 0.381, 1.35, 2.266
 236730883, 0.308, 1.351, 2.265
