TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
127088580,5.844238,5.941413,0,-0.09717529,0.01039257,0,-0.3526123,-0.3811817
127188594,5.844238,5.943083,0,-0.0988446,0.01004148,0,-0.3531718,-0.3802744
127288612,5.844238,5.942436,0,-0.09819763,-0.01417463,0,-0.2837048,-0.3736981
127388658,5.844238,5.94058,0,-0.09634155,-0.004749482,0,-0.3308249,-0.3688552
127488654,5.844238,5.939587,0,-0.09534912,-0.009540807,0,-0.3789071,-0.3932272
127588674,5.844238,5.939208,0,-0.09496948,-0.002260891,0,-0.392414,-0.405581
127688581,5.844238,5.940785,0,-0.09654724,-0.01037875,0,-0.4372168,-0.4035378
127788696,5.844238,5.943602,0,-0.09936401,0.01639739,0,-0.4170414,-0.4037646
127888799,5.844238,5.943711,0,-0.09947266,-0.01725532,0,-0.4348747,-0.4151353
127988558,5.844238,5.942645,0,-0.09840698,-0.003841069,0,-0.4351864,-0.4412178
128088566,5.844238,5.940625,0,-0.09638672,-0.0369109,0,-0.401264,-0.454367
128188603,5.844238,5.937408,0,-0.09317017,-0.01195889,0,-0.3683995,-0.4422641
128288660,5.844238,5.93786,0,-0.09362122,-0.02371677,0,-0.3994769,-0.434291
128388609,5.844238,5.938628,0,-0.09439026,-0.006192804,0,-0.4288408,-0.4379824
128488729,5.844238,5.940657,0,-0.09641907,-0.000187471,0,-0.4468812,-0.4304468
128588621,5.844238,5.942887,0,-0.09864929,-0.06271701,0,-0.389017,-0.4233493
128688664,5.844238,5.94474,0,-0.1005023,-0.05713991,0,-0.3682545,-0.4111755
128788627,5.844238,5.946658,0,-0.10242,-0.05642716,0,-0.3728631,-0.4146886
128888617,5.844238,5.947472,0,-0.1032336,-0.05899723,0,-0.3688653,-0.4142312
128988611,5.844238,5.94683,0,-0.1025916,-0.05905171,0,-0.3765436,-0.4077118
129088514,5.844238,5.944702,0,-0.1004639,-0.06743058,0,-0.3643279,-0.3925974
129188645,5.844238,5.941143,0,-0.0969049,-0.06192288,0,-0.3435394,-0.3808585
129288673,5.844238,5.938525,0,-0.09428649,-0.05232114,0,-0.3516389,-0.3671726
129388617,5.844238,5.936625,0,-0.09238708,-0.06260128,0,-0.3978118,-0.3710035
129488640,5.844238,5.93742,0,-0.09318176,-0.06744036,0,-0.4178203,-0.3745056
129588625,5.844238,5.940422,0,-0.09618347,-0.04244815,0,-0.4578962,-0.3954677
129688598,5.844238,5.943523,0,-0.09928527,-0.03957571,0,-0.4633567,-0.4036776
129788590,5.844238,5.944935,0,-0.100697,-0.03951266,0,-0.4150897,-0.4043806
129888595,5.844238,5.944491,0,-0.1002533,-0.05312152,0,-0.3854245,-0.3734363
129988772,5.844238,5.942434,0,-0.0981958,-0.06701652,0,-0.3294581,-0.3439791
130088612,5.844238,5.942877,0,-0.09863891,-0.08904921,0,-0.3744191,-0.3183769
130188634,5.844238,5.944764,0,-0.1005261,-0.1032832,0,-0.3936026,-0.3357697
130288701,5.844238,5.94629,0,-0.102052,-0.08553733,0,-0.379861,-0.3331581
130388608,5.844238,5.947804,0,-0.1035657,-0.1087241,0,-0.3962777,-0.3431954
130488642,5.844238,5.950924,0,-0.1066864,-0.110108,0,-0.387898,-0.3483015
130588625,5.844238,5.954669,0,-0.1104315,-0.07269004,0,-0.4154933,-0.3644926
130688517,5.844238,5.958525,0,-0.1142865,-0.06324407,0,-0.4459083,-0.3665293
130788544,5.844238,5.961943,0,-0.1177051,-0.1031118,0,-0.4394841,-0.3642836
130888630,5.844238,5.963168,0,-0.11893,-0.09144068,0,-0.4242115,-0.3693925
130988722,5.844238,5.963169,0,-0.1189307,-0.09839457,0,-0.4634486,-0.368565
131088627,5.844238,5.964,0,-0.119762,-0.06945289,0,-0.4827673,-0.36098
131188660,5.844238,5.965499,0,-0.121261,-0.08518788,0,-0.4402267,-0.3815394
131288578,5.844238,5.967876,0,-0.1236383,-0.1164107,0,-0.4224334,-0.3623547
131388639,5.844238,5.969969,0,-0.1257312,-0.1104561,0,-0.4228394,-0.362544
131488658,5.844238,5.971331,0,-0.1270929,-0.08616755,0,-0.4209172,-0.3581653
131588608,5.844238,5.971689,0,-0.1274512,-0.09859329,0,-0.4323824,-0.3665058
131688556,5.844238,5.972236,0,-0.1279974,-0.1314074,0,-0.3960041,-0.3580716
131788661,5.844238,5.972728,0,-0.12849,-0.1046431,0,-0.408646,-0.3890023
131888609,5.844238,5.97149,0,-0.1272522,-0.1360934,0,-0.4048754,-0.4086435
131988649,5.844238,5.968905,0,-0.1246674,-0.1355191,0,-0.3962528,-0.4233986
132088767,5.844238,5.965475,0,-0.1212366,-0.1119766,0,-0.391972,-0.4251857
132188678,5.844238,5.961355,0,-0.1171167,-0.1302262,0,-0.3794123,-0.414117
132288612,5.844238,5.957798,0,-0.1135596,-0.1319686,0,-0.3689638,-0.3910855
132388547,5.844238,5.954656,0,-0.1104181,-0.1219325,0,-0.3848763,-0.3742048
132488742,5.844238,5.954834,0,-0.1105963,-0.13679,0,-0.4087852,-0.3566109
132588578,5.844238,5.956841,0,-0.1126032,-0.1262091,0,-0.4086834,-0.3791276
132688550,5.844238,5.959872,0,-0.1156342,-0.1056475,0,-0.4512098,-0.3988277
132788561,5.844238,5.963532,0,-0.1192938,-0.09080964,0,-0.4687634,-0.4328657
132888574,5.844238,5.96763,0,-0.1233923,-0.09296293,0,-0.4860377,-0.4446723
132988676,5.844238,5.971072,0,-0.1268335,-0.1050985,0,-0.4777077,-0.462765
133088617,5.844238,5.972847,0,-0.1286084,-0.1097041,0,-0.4779192,-0.4685424
133188622,5.844238,5.972517,0,-0.1282794,-0.1228241,0,-0.4244001,-0.4583139
133288554,5.844238,5.970171,0,-0.1259332,-0.1131787,0,-0.4243362,-0.4359589
133388612,5.844238,5.966062,0,-0.1218237,-0.1424259,0,-0.3696896,-0.4181816
133488636,5.844238,5.9611,0,-0.1168616,-0.140748,0,-0.3727815,-0.3998868
133588607,5.844238,5.955397,0,-0.1111591,-0.1102485,0,-0.3747315,-0.3954887
133688643,5.844238,5.949708,0,-0.10547,-0.1369098,0,-0.3471855,-0.3792421
133788543,5.844238,5.942437,0,-0.09819885,-0.134825,0,-0.3321213,-0.370408
133888564,5.844238,5.932936,0,-0.08869812,-0.1279549,0,-0.3078802,-0.3490684
133988602,5.844238,5.921484,0,-0.07724548,-0.1407922,0,-0.214313,-0.3099495
134088606,5.844238,5.909863,0,-0.065625,-0.1344854,0,-0.2058512,-0.2745804
134188699,5.844238,5.89816,0,-0.05392151,-0.1436564,0,-0.188383,-0.249194
