TimeUS,gpSA,gpHA,gpVA
 300360820, 0.4, 1.183, 1.994
 300560807, 0.405, 1.187, 1.989
 300740798, 0.412, 1.191, 1.99
 300941013, 0.399, 1.196, 1.987
 301140798, 0.396, 1.2, 1.973
 301360938, 0.405, 1.204, 1.973
 301540783, 0.412, 1.208, 1.975
 301760820, 0.374, 1.212, 1.973
 301960800, 0.348, 1.214, 1.97
 302140992, 0.414, 1.217, 1.974
 302341017, 0.371, 1.22, 1.975
 302560949, 0.391, 1.222, 1.977
 302760823, 0.351, 1.223, 1.978
 302964844, 0.327, 1.222, 1.969
 303164805, 0.356, 1.222, 1.97
 303364844, 0.316, 1.219, 1.945
 303564812, 0.363, 1.22, 1.945
 303764873, 0.319, 1.215, 1.919
 303964858, 0.327, 1.213, 1.919
 304164829, 0.388, 1.215, 1.925
 304343325, 0.319, 1.212, 1.906
 304543304, 0.333, 1.211, 1.903
 304743560, 0.329, 1.211, 1.89
 304943314, 0.32, 1.211, 1.876
 305164841, 0.356, 1.212, 1.863
 305364867, 0.296, 1.208, 1.849
 305543289, 0.383, 1.209, 1.851
 305743291, 0.324, 1.209, 1.844
 305943283, 0.33, 1.209, 1.838
 306143291, 0.373, 1.212, 1.839
 306343319, 0.323, 1.212, 1.837
 306566004, 0.327, 1.211, 1.835
 306745994, 0.313, 1.209, 1.829
 306945853, 0.327, 1.208, 1.825
 307145851, 0.314, 1.206, 1.823
 307345998, 0.313, 1.203, 1.817
 307545862, 0.331, 1.202, 1.816
 307745853, 0.329, 1.202, 1.816
 307945873, 0.304, 1.2, 1.804
 308145856, 0.324, 1.198, 1.804
 308346022, 0.291, 1.194, 1.805
 308546001, 0.349, 1.194, 1.81
 308766018, 0.289, 1.193, 1.813
 308945852, 0.322, 1.194, 1.817
 309166125, 0.35, 1.195, 1.821
 309366227, 0.253, 1.189, 1.82
 309547218, 0.323, 1.188, 1.827
 309746474, 0.326, 1.189, 1.833
 309946470, 0.31, 1.189, 1.839
 310146249, 0.341, 1.191, 1.847
 310346580, 0.366, 1.194, 1.856
 310565974, 0.434, 1.197, 1.864
 310746995, 0.461, 1.201, 1.875
 310946243, 0.464, 1.204, 1.886
 311146260, 0.376, 1.206, 1.874
 311365982, 0.335, 1.198, 1.853
 311546463, 0.335, 1.193, 1.836
 311746248, 0.303, 1.187, 1.81
 311947018, 0.305, 1.182, 1.79
 312146421, 0.304, 1.175, 1.771
 312365984, 0.297, 1.169, 1.752
 312565999, 0.376, 1.167, 1.751
 312746235, 0.377, 1.166, 1.752
 312946249, 0.424, 1.169, 1.758
 313146972, 0.42, 1.171, 1.764
 313347017, 0.363, 1.168, 1.767
 313546309, 0.367, 1.166, 1.77
 313746263, 0.337, 1.165, 1.775
 313946372, 0.343, 1.164, 1.783
 314146265, 0.435, 1.164, 1.793
 314347003, 0.477, 1.166, 1.805
 314546983, 0.514, 1.171, 1.819
 314746255, 0.48, 1.178, 1.834
 314946251, 0.473, 1.183, 1.847
 315146240, 0.489, 1.188, 1.859
 315346265, 0.478, 1.192, 1.87
 315546246, 0.509, 1.196, 1.883
 315826017, 0.541, 1.559, 2.049
 315946237, 0.502, 1.561, 2.06
 316146261, 0.501, 1.559, 2.07
 316346263, 0.421, 1.54, 2.068
 316546255, 0.543, 1.538, 2.079
 316765998, 0.391, 1.526, 2.067
 316965999, 0.377, 1.51, 2.051
 317166131, 0.499, 1.508, 2.057
 317346287, 0.444, 1.506, 2.062
 317546462, 0.481, 1.503, 2.07
 317805996, 0.445, 1.499, 2.077
 317946240, 0.433, 1.496, 2.084
 318146998, 0.438, 1.493, 2.093
 318347012, 0.35, 1.488, 2.098
 318565988, 0.377, 1.484, 2.102
 318746271, 0.353, 1.479, 2.106
 318946251, 0.313, 1.474, 2.109
 319166017, 0.329, 1.468, 2.115
 319365974, 0.317, 1.462, 2.119
 319547053, 0.327, 1.458, 2.124
 319746296, 0.32, 1.452, 2.128
 319946498, 0.323, 1.447, 2.132
 320166018, 0.335, 1.444, 2.139
 320346322, 0.335, 1.441, 2.142
 320526254, 0.406, 1.44, 2.149
 320747032, 0.272, 1.423, 2.087
 320946527, 0.283, 1.407, 2.042
 321146498, 0.295, 1.388, 2
 321346314, 0.283, 1.373, 1.959
 321546300, 0.374, 1.371, 1.961
 321746332, 0.3, 1.366, 1.942
 321966022, 0.308, 1.36, 1.918
 322166025, 0.296, 1.352, 1.897
 322346334, 0.247, 1.339, 1.862
 322566048, 0.363, 1.335, 1.855
 322746313, 0.306, 1.329, 1.837
 322946513, 0.268, 1.317, 1.82
 323147053, 0.265, 1.306, 1.805
 323347081, 0.246, 1.295, 1.788
 323546290, 0.351, 1.292, 1.788
 323746281, 0.359, 1.29, 1.777
 323946284, 0.433, 1.288, 1.779
 324146502, 0.452, 1.287, 1.782
 324346311, 0.446, 1.283, 1.786
 324566096, 0.457, 1.282, 1.79
 324746515, 0.451, 1.281, 1.795
 324946305, 0.445, 1.28, 1.799
 325166003, 0.446, 1.279, 1.803
 325346319, 0.436, 1.279, 1.807
 325546318, 0.433, 1.278, 1.81
 325746052, 0.488, 1.278, 1.819
 325946059, 0.434, 1.278, 1.824
 326146047, 0.517, 1.279, 1.834
 326346087, 0.495, 1.277, 1.844
 326566036, 0.484, 1.274, 1.85
