TimeUS,gprLat,gprLng,gprAlt,gprN,gprE,gprD
 136216325, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136218824, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136221323, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136223822, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136226321, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136228820, -353642145, 1491652791, -1006802413, -0.159, -0.049, 1.472
 136231319, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136233818, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136236317, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136238816, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136241315, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136243814, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136246313, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136248812, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136251311, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136253810, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136256309, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136258808, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136261307, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136263806, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136266305, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136268804, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136271303, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136273802, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136276301, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136278800, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136281299, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136283798, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136286297, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136288796, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136291295, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136293794, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136296293, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136298792, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136301291, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136303790, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136306289, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136308788, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136311287, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136313786, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136316285, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136318784, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136321283, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136323782, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136326281, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136328780, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136331279, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136333778, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136336277, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136338776, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136341275, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136343774, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136346273, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136348772, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136351271, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136353770, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136356269, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136358768, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136361267, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136363766, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136366265, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136368764, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136371263, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136373762, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136376261, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136378760, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136381259, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136383758, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
 136386257, -353642148, 1491652790, -1006802413, -0.148, -0.048, 1.476
