TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 168471144, -0.1918081, -0.1918081, 0.007719996, 0.007719996, 0.007719996, 0, 3.715E-05, 3.715E-05
PSCN, 168571101, -0.1897384, -0.1897384, 0.01464023, 0.01464023, 0.01464023, 0, 3.713803E-05, 3.713803E-05
PSCN, 168671041, -0.187919, -0.187919, 0.01083806, 0.01083806, 0.01083806, 0, 3.714991E-05, 3.714991E-05
PSCN, 168771047, -0.1861447, -0.1861447, 0.01562314, 0.01562314, 0.01562314, 0, 3.715275E-05, 3.715275E-05
PSCN, 168870970, -0.1862399, -0.1862399, 0.01029705, 0.01029705, 0.01029705, 0, 3.716216E-05, 3.716216E-05
PSCN, 168971170, -0.1865042, -0.1865042, 0.01279689, 0.01279689, 0.01279689, 0, 3.716384E-05, 3.716384E-05
PSCN, 169071020, -0.1878359, -0.1878359, 0.009730419, 0.009730419, 0.009730419, 0, 3.719277E-05, 3.719277E-05
PSCN, 169171098, -0.1890235, -0.1890235, -0.0003088378, -0.0003088378, -0.0003088378, 0, 3.719652E-05, 3.719652E-05
PSCN, 169271112, -0.191875, -0.191875, -0.006370244, -0.006370244, -0.006370244, 0, 3.719659E-05, 3.719659E-05
PSCN, 169371043, -0.1944646, -0.1944646, -0.01917829, -0.01917829, -0.01917829, 0, 3.720537E-05, 3.720537E-05
PSCN, 169471193, -0.196052, -0.1965773, 0.002126238, 0.002651547, -0.01008659, -0.002133376, 0.03721011, 0.0009066553
PSCN, 169571097, -0.1958532, -0.1981402, 0.001861533, 0.004148497, -0.006777721, -0.001867782, 0.04347292, 0.01207782
PSCN, 169671181, -0.1956792, -0.1997257, 0.001629028, 0.005675536, 0.01970275, -0.001634497, 0.001839009, 0.01412672
PSCN, 169771220, -0.195527, -0.2012021, 0.001425176, 0.007100318, -0.01274417, -0.001429961, 0.03490165, 0.02019474
PSCN, 169871113, -0.1953938, -0.2015962, 0.001246638, 0.007449046, 0.007532468, -0.001250824, 0.003465472, 0.02034074
PSCN, 169971150, -0.1952773, -0.2017186, 0.001090367, 0.00753167, -0.008784264, -0.001094027, 0.03998925, 0.0170912
PSCN, 170071131, -0.1951755, -0.2027535, 0.0009536325, 0.008531683, 0.008445803, -0.0009568341, 0.05067495, 0.02024639
PSCN, 170171119, -0.1950864, -0.2038852, 0.0008340191, 0.009632817, 0.010777, -0.0008368191, -0.001963313, 0.0236371
PSCN, 170271153, -0.1950084, -0.2060315, 0.0007293957, 0.01175242, -0.0102573, -0.0007318445, 0.102714, 0.02795623
PSCN, 170371047, -0.1949403, -0.2089224, 0.0006378898, 0.01462005, -0.01447488, -0.0006400314, 0.07878944, 0.06558397
PSCN, 170471193, -0.1948807, -0.2124365, 0.0005578601, 0.01811372, -0.0488047, -0.000559733, 0.1391387, 0.06682371
PSCN, 170571123, -0.1948286, -0.2164671, 0.0004878691, 0.0221264, -0.007749513, -0.000489507, 0.1237792, 0.09868131
PSCN, 170671086, -0.194783, -0.222902, 0.0004266587, 0.02854567, -0.02263171, -0.0004280911, 0.2024153, 0.1390901
PSCN, 170771123, -0.1947431, -0.2292984, 0.0003731273, 0.03492843, -0.02967701, -0.00037438, 0.1759091, 0.1695262
PSCN, 170871207, -0.1947082, -0.2354265, 0.0003263118, 0.04104451, 0.003757134, -0.0003274073, 0.1866629, 0.1798247
PSCN, 170971172, -0.1946778, -0.2408482, 0.0002853702, 0.04645579, -0.03202232, -0.0002863283, 0.1936348, 0.1823052
PSCN, 171071070, -0.1946511, -0.2423625, 0.0002495656, 0.04796091, -0.02583335, -0.0002504034, 0.1651866, 0.1751928
PSCN, 171171129, -0.1946278, -0.2429484, 0.0002182531, 0.04853889, 0.001108122, -0.0002189859, 0.1824723, 0.1767268
PSCN, 171271087, -0.1946074, -0.2428045, 0.0001908695, 0.04838797, -0.01530453, -0.0001915103, 0.1589022, 0.1836617
PSCN, 171371121, -0.1945896, -0.2428032, 0.0001669215, 0.04838054, -0.04781819, -0.0001674819, 0.2008683, 0.1898199
PSCN, 171471166, -0.1945738, -0.2415601, 0.0001589579, 0.04714522, -0.02519032, 0.03915571, 0.2266601, 0.1997389
PSCN, 171571132, -0.1945034, -0.2400152, 0.001784118, 0.04729585, -0.01874985, 0.1039363, 0.2907647, 0.2256912
PSCN, 171671134, -0.1940618, -0.2415407, 0.007774122, 0.05525304, -0.01450012, 0.1849685, 0.399175, 0.2901763
PSCN, 171771169, -0.1927124, -0.2425783, 0.01995895, 0.06982481, -0.01352542, 0.2432276, 0.4458413, 0.3704101
PSCN, 171871189, -0.1898468, -0.2395578, 0.03775927, 0.0874703, 0.05697254, 0.295613, 0.4688975, 0.4347017
PSCN, 171971136, -0.1849537, -0.2335114, 0.06016227, 0.1087199, 0.07964946, 0.308471, 0.4257506, 0.4693426
PSCN, 172071022, -0.1776725, -0.2226453, 0.08507439, 0.1300472, 0.1103446, 0.3102668, 0.457518, 0.4875439
PSCN, 172171150, -0.1678492, -0.2084108, 0.1108055, 0.1513672, 0.1455014, 0.3146587, 0.3935126, 0.4672913
PSCN, 172271227, -0.1554533, -0.1945405, 0.1363939, 0.1754811, 0.1575971, 0.3098615, 0.4602842, 0.4647282
PSCN, 172371102, -0.1405345, -0.1783087, 0.1612189, 0.1989931, 0.2014523, 0.3085933, 0.3884875, 0.457058
PSCN, 172471247, -0.1231806, -0.160777, 0.1850364, 0.2226328, 0.1717891, 0.2953118, 0.5277237, 0.4569332
PSCN, 172571135, -0.1035185, -0.1410566, 0.2074042, 0.2449423, 0.2051466, 0.2860429, 0.4633677, 0.4592016
PSCN, 172671199, -0.08167277, -0.1247028, 0.2288897, 0.2719197, 0.1993233, 0.2859935, 0.5544307, 0.4739401
PSCN, 172771178, -0.05768804, -0.107764, 0.2503191, 0.3003951, 0.2410455, 0.2982376, 0.5275818, 0.5271828
PSCN, 172871089, -0.03153795, -0.08254717, 0.2721545, 0.3231637, 0.2861808, 0.2903514, 0.4909821, 0.5159639
PSCN, 172971095, -0.003237385, -0.05244914, 0.2930888, 0.3423006, 0.3465395, 0.2896921, 0.3719685, 0.4955187
PSCN, 173171140, 0.05921276, 0.02299732, 0.3295552, 0.3657706, 0.3706361, 0.2616204, 0.3232305, 0.3977162
PSCN, 173271134, 0.09294985, 0.06043588, 0.3445044, 0.3770183, 0.3837219, 0.2485085, 0.3270747, 0.3577849
PSCN, 173371161, 0.1280885, 0.09825963, 0.3576369, 0.3874658, 0.4075603, 0.2287559, 0.3051225, 0.3363073
PSCN, 173471217, 0.1644576, 0.1415521, 0.3692262, 0.3921317, 0.3946946, 0.2206099, 0.3075303, 0.3052817
PSCN, 173571112, 0.2019242, 0.1875328, 0.3797426, 0.394134, 0.4326397, 0.2212024, 0.199918, 0.2818357
PSCN, 173871196, 0.3203775, 0.3001673, 0.4093185, 0.4295288, 0.407305, 0.2305405, 0.4526766, 0.3948562
PSCN, 173971281, 0.3617888, 0.3400615, 0.4186108, 0.4403381, 0.4514527, 0.231721, 0.3814774, 0.3951494
PSCN, 174071143, 0.4041001, 0.3799226, 0.4272329, 0.4514104, 0.4205919, 0.2117552, 0.3828902, 0.3870074
PSCN, 174171126, 0.4472006, 0.4204377, 0.4343151, 0.461078, 0.4552087, 0.2035985, 0.4034808, 0.3899508
PSCN, 174271088, 0.4909348, 0.4591964, 0.4400557, 0.471794, 0.4223576, 0.194592, 0.4744138, 0.3945064
PSCN, 174371109, 0.5352067, 0.4987606, 0.4452157, 0.4816619, 0.4555061, 0.1952944, 0.3541262, 0.4075257
PSCN, 174471163, 0.57999, 0.5421549, 0.450326, 0.4881611, 0.4749974, 0.1956003, 0.3519511, 0.3999076
PSCN, 174571147, 0.6252809, 0.5874959, 0.4553474, 0.4931324, 0.4615065, 0.1978438, 0.4065417, 0.399427
PSCN, 174671126, 0.6710632, 0.6301782, 0.4600822, 0.5009673, 0.4582501, 0.1770148, 0.4022094, 0.3998063
PSCN, 174771124, 0.7172387, 0.6733083, 0.4622615, 0.506192, 0.4819458, -0.07904489, 0.08959092, 0.3547232
PSCN, 174871105, 0.7630534, 0.7172934, 0.4518838, 0.4976437, 0.4778946, -0.1786803, 0.0223942, 0.1906711
PSCN, 174971130, 0.8072153, 0.7621487, 0.4305978, 0.4756643, 0.4523065, -0.1867617, -0.1155439, 0.0593138
PSCN, 175071048, 0.8489301, 0.8010697, 0.4037555, 0.451616, 0.4358781, -0.1864591, 0.001495647, 0.003799175
PSCN, 175171138, 0.8878223, 0.8376049, 0.3745571, 0.4247744, 0.4221222, -0.1988588, -0.07225709, -0.01270357
PSCN, 175271175, 0.9237325, 0.8729474, 0.3442166, 0.3950017, 0.3967892, -0.2255176, -0.08983307, -0.03776379
PSCN, 175371194, 0.9565572, 0.9067762, 0.3130378, 0.3628188, 0.3233323, -0.2178631, -0.07210487, -0.07000899
PSCN, 175471286, 0.9862852, 0.9341821, 0.2825395, 0.3346426, 0.3483305, -0.1967451, -0.09478707, -0.07235146
PSCN, 175571085, 1.013041, 0.958566, 0.2535063, 0.3079813, 0.2973302, -0.1935249, 0.08662388, -0.03256835
PSCN, 175671156, 1.036946, 0.9797825, 0.2254003, 0.2825637, 0.2178869, -0.206136, 0.1352337, 0.03662045
