TimeUS,TPN,PN,DVN,TVN,VN,DAN,TAN,AN
PSCN, 245936552, 1.271676, 1.271676, -0.01849052, -0.01849052, -0.01849052, 0, 1.025305E-05, 1.025305E-05
PSCN, 246036555, 1.272613, 1.272613, -0.006863156, -0.006863156, -0.006863156, 0, 1.023452E-05, 1.023452E-05
PSCN, 246136494, 1.273558, 1.273558, -0.009974143, -0.009974143, -0.009974143, 0, 1.023703E-05, 1.023703E-05
PSCN, 246236522, 1.274764, 1.274764, -0.01045665, -0.01045665, -0.01045665, 0, 1.023978E-05, 1.023978E-05
PSCN, 246336604, 1.276185, 1.276185, -0.005988597, -0.005988597, -0.005988597, 0, 1.027381E-05, 1.027381E-05
PSCN, 246436559, 1.278128, 1.278128, -0.0009142614, -0.0009142614, -0.0009142614, 0, 1.02479E-05, 1.02479E-05
PSCN, 246536607, 1.27968, 1.27968, 0.004634738, 0.004634738, 0.004634738, 0, 1.023572E-05, 1.023573E-05
PSCN, 246636667, 1.28079, 1.28079, 0.0003728246, 0.0003728246, 0.0003728246, 0, 1.025679E-05, 1.025679E-05
PSCN, 246736573, 1.281641, 1.281641, 0.001753424, 0.001753424, 0.001753424, 0, 1.025732E-05, 1.025732E-05
PSCN, 246836567, 1.282188, 1.282188, 0.006554001, 0.006554001, 0.006554001, 0, 1.025898E-05, 1.025898E-05
PSCN, 246936603, 1.282075, 1.282075, 0.01250197, 0.01250197, 0.01250197, 0, 1.02431E-05, 1.024309E-05
PSCN, 247036638, 1.280912, 1.280912, -0.004021682, -0.004021682, -0.004021682, 0, 1.024569E-05, 1.024569E-05
PSCN, 247136554, 1.279077, 1.279077, 0.0148657, 0.0148657, 0.0148657, 0, 1.024059E-05, 1.02406E-05
PSCN, 247236556, 1.276099, 1.276099, 0.008136208, 0.008136208, 0.008136208, 0, 1.023784E-05, 1.023784E-05
PSCN, 247336501, 1.272854, 1.272854, -0.004954034, -0.004954034, -0.004954034, 0, 1.025341E-05, 1.02534E-05
PSCN, 247436675, 1.268729, 1.268729, -0.005246408, -0.005246408, -0.005246408, 0, 1.02181E-05, 1.02181E-05
PSCN, 247536510, 1.264726, 1.264726, -0.004423819, -0.004423819, -0.004423819, 0, 1.026656E-05, 1.026656E-05
PSCN, 247636588, 1.260662, 1.260662, -0.006190225, -0.006190225, -0.006190225, 0, 1.024831E-05, 1.024831E-05
PSCN, 247736782, 1.257546, 1.257546, -0.008018633, -0.008018633, -0.008018633, 0, 1.023219E-05, 1.023219E-05
PSCN, 247836564, 1.255319, 1.255319, -0.0009599659, -0.0009599659, -0.0009599659, 0, 1.025394E-05, 1.025394E-05
PSCN, 247936633, 1.253091, 1.253091, -0.007208732, -0.007208732, -0.007208732, 0, 1.028328E-05, 1.028329E-05
PSCN, 248036573, 1.250341, 1.250341, -0.0008859157, -0.0008859157, -0.0008859157, 0, 1.026741E-05, 1.026741E-05
PSCN, 248136629, 1.24806, 1.24806, 0.003633239, 0.003633239, 0.003633239, 0, 1.027304E-05, 1.027304E-05
PSCN, 248236578, 1.245974, 1.245974, -0.008530992, -0.008530992, -0.008530992, 0, 1.028769E-05, 1.028769E-05
PSCN, 248336715, 1.243, 1.243, -0.00192134, -0.00192134, -0.00192134, 0, 1.030017E-05, 1.030017E-05
PSCN, 248436684, 1.238628, 1.238628, 0.0005137938, 0.0005137938, 0.0005137938, 0, 1.028673E-05, 1.028673E-05
PSCN, 248536618, 1.234948, 1.234948, -0.01023966, -0.01023966, -0.01023966, 0, 1.030311E-05, 1.030311E-05
PSCN, 248636706, 1.231754, 1.231754, 0.006021711, 0.006021711, 0.006021711, 0, 1.031049E-05, 1.031049E-05
PSCN, 248736559, 1.229049, 1.229049, -0.009041524, -0.009041524, -0.009041524, 0, 1.031812E-05, 1.031812E-05
