TimeUS,gpSA,gpHA,gpVA
 154175787, 0.231, 1.17, 1.603
 154375751, 0.19, 1.167, 1.602
 154575808, 0.209, 1.165, 1.601
 154775809, 0.286, 1.163, 1.6
 154976000, 0.198, 1.161, 1.597
 155175787, 0.188, 1.16, 1.593
 155375789, 0.189, 1.158, 1.59
 155596148, 0.244, 1.157, 1.587
 155775792, 0.315, 1.156, 1.585
 155975786, 0.32, 1.155, 1.585
 156175730, 0.314, 1.154, 1.585
 156375801, 0.293, 1.153, 1.585
 156575800, 0.225, 1.153, 1.587
 156776014, 0.295, 1.153, 1.587
 156975908, 0.252, 1.153, 1.589
 157175789, 0.242, 1.155, 1.59
 157375801, 0.286, 1.155, 1.591
 157575766, 0.288, 1.155, 1.592
 157775810, 0.314, 1.155, 1.593
 157975996, 0.301, 1.154, 1.593
 158175781, 0.335, 1.153, 1.593
 158375808, 0.292, 1.153, 1.594
 158575994, 0.343, 1.152, 1.594
 158775813, 0.329, 1.152, 1.594
 158975774, 0.328, 1.151, 1.594
 159175777, 0.217, 1.151, 1.593
 159375798, 0.261, 1.15, 1.591
 159575795, 0.296, 1.149, 1.59
 159775814, 0.211, 1.148, 1.588
 159975785, 0.282, 1.146, 1.586
 160175769, 0.293, 1.145, 1.583
 160376012, 0.249, 1.144, 1.581
 160575788, 0.254, 1.143, 1.582
 160775812, 0.295, 1.143, 1.583
 160975783, 0.303, 1.142, 1.583
 161175791, 0.346, 1.142, 1.583
 161375814, 0.323, 1.141, 1.582
 161575758, 0.346, 1.141, 1.582
 161775827, 0.343, 1.141, 1.582
 161975782, 0.347, 1.141, 1.582
 162176043, 0.253, 1.141, 1.581
 162375796, 0.243, 1.141, 1.581
 162575785, 0.331, 1.142, 1.581
 162775818, 0.309, 1.142, 1.58
 162975758, 0.346, 1.142, 1.58
 163175793, 0.356, 1.141, 1.579
 163375777, 0.301, 1.14, 1.578
 163575792, 0.252, 1.139, 1.576
 163775838, 0.265, 1.138, 1.575
 163976001, 0.274, 1.137, 1.573
