TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 48014120, -353628462, 1491650509, -1087996760, 353.9908, 353.9908, 6.181, -0.65, 0.163
 48034112, -353628456, 1491651465, -1087865794, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48054104, -353628456, 1491651465, -1087722806, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48074096, -353628456, 1491651465, -1087580992, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48094088, -353628456, 1491651465, -1087453540, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48114080, -353628456, 1491651465, -1088032889, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48134072, -353628456, 1491651465, -1087884600, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48154064, -353628456, 1491651465, -1087714630, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48174056, -353628456, 1491651465, -1087538388, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48194048, -353628456, 1491651465, -1087325965, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48214040, -353628456, 1491651465, -1087134613, 353.9811, 353.9811, 6.665, -0.702, 0.173
 48234032, -353628469, 1491650508, -1086919817, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48254024, -353628469, 1491650508, -1086721105, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48274016, -353628469, 1491650508, -1086522616, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48294008, -353628469, 1491650508, -1086338820, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48314000, -353628469, 1491650508, -1085835421, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48333992, -353628469, 1491650508, -1085662820, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48353984, -353628469, 1491650508, -1085490419, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48373976, -353628469, 1491650508, -1085302494, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48393968, -353628469, 1491650508, -1085130536, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48413960, -353628469, 1491650508, -1084943212, 353.9204, 353.9204, 7.556, -0.804, 0.191
 48433952, -353628569, 1491650101, -1084813372, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48453944, -353628569, 1491650101, -1084649061, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48473936, -353628569, 1491650101, -1084502775, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48493928, -353628569, 1491650101, -1084368067, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48513920, -353628569, 1491650101, -1083553775, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48533912, -353628569, 1491650101, -1083421515, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48553904, -353628569, 1491650101, -1083291521, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48573896, -353628569, 1491650101, -1083167062, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48593888, -353628569, 1491650101, -1083021347, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48613880, -353628569, 1491650101, -1082889278, 353.8832, 353.8832, 8.492001, -0.91, 0.218
 48633872, -353628401, 1491650378, -1082756538, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48653864, -353628401, 1491650378, -1082630740, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48673856, -353628401, 1491650378, -1082480743, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48693848, -353628401, 1491650378, -1082350158, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48713840, -353628401, 1491650378, -1082056858, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48733832, -353628401, 1491650378, -1081991306, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48753824, -353628401, 1491650378, -1081930839, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48773816, -353628401, 1491650378, -1081876480, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48793808, -353628401, 1491650378, -1081822589, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48813800, -353628401, 1491650378, -1081746970, 353.9377, 353.9377, 9.363001, -0.994, 0.245
 48833792, -353628622, 1491651281, -1081680760, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48853784, -353628622, 1491651281, -1081623999, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48873776, -353628622, 1491651281, -1081561472, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48893768, -353628622, 1491651281, -1081490795, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48913760, -353628622, 1491651281, -1081803064, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48933752, -353628622, 1491651281, -1081746633, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48953744, -353628622, 1491651281, -1081674462, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48973736, -353628622, 1491651281, -1081609954, 353.9604, 353.9604, 10.143, -1.073, 0.268
 48993728, -353628622, 1491651281, -1081551302, 353.9604, 353.9604, 10.143, -1.073, 0.268
 49013720, -353628622, 1491651281, -1081484053, 353.9604, 353.9604, 10.143, -1.073, 0.268
 49033712, -353627915, 1491650822, -1081436318, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49053704, -353627915, 1491650822, -1081376308, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49073696, -353627915, 1491650822, -1081335089, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49093688, -353627915, 1491650822, -1081271919, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49113680, -353627915, 1491650822, -1081284209, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49133672, -353627915, 1491650822, -1081221667, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49153664, -353627915, 1491650822, -1081173518, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49173656, -353627915, 1491650822, -1081124210, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49193648, -353627915, 1491650822, -1081071618, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49213640, -353627915, 1491650822, -1081027969, 353.9583, 353.9583, 10.836, -1.146, 0.289
 49233632, -353627509, 1491650498, -1080973078, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49253624, -353627509, 1491650498, -1080925857, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49273616, -353627509, 1491650498, -1080874306, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49293608, -353627509, 1491650498, -1080833386, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49313600, -353627509, 1491650498, -1080685161, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49333592, -353627509, 1491650498, -1080640590, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49353584, -353627509, 1491650498, -1080594273, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49373576, -353627509, 1491650498, -1080549573, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49393568, -353627509, 1491650498, -1080512862, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49413560, -353627509, 1491650498, -1080470894, 353.9471, 353.9471, 11.438, -1.212, 0.273
 49433552, -353627267, 1491651138, -1080436189, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49453544, -353627267, 1491651138, -1080394128, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49473536, -353627267, 1491651138, -1080359601, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49493528, -353627267, 1491651138, -1080325276, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49513520, -353627267, 1491651138, -1080532792, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49533512, -353627267, 1491651138, -1080494078, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49553504, -353627267, 1491651138, -1080456869, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49573496, -353627267, 1491651138, -1080419691, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49593488, -353627267, 1491651138, -1080391000, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49613480, -353627267, 1491651138, -1080350433, 353.9475, 353.9475, 11.957, -1.267, 0.27
 49634305, -353627161, 1491650835, -1080319234, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49654297, -353627161, 1491650835, -1080269990, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49674289, -353627161, 1491650835, -1080226187, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49694281, -353627161, 1491650835, -1080183245, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49714273, -353627161, 1491650835, -1080203543, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49734265, -353627161, 1491650835, -1080166693, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49754257, -353627161, 1491650835, -1080134961, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49774249, -353627161, 1491650835, -1080098385, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49794241, -353627161, 1491650835, -1080059918, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49814233, -353627161, 1491650835, -1080049035, 353.9546, 353.9546, 12.414, -1.314, 0.295
 49834225, -353627506, 1491650534, -1080017828, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49854217, -353627506, 1491650534, -1079976975, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49874209, -353627506, 1491650534, -1079915880, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49894201, -353627506, 1491650534, -1079858759, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49914193, -353627506, 1491650534, -1079699901, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49934185, -353627506, 1491650534, -1079629194, 353.9586, 353.9586, 12.814, -1.356, 0.32
 49954177, -353627506, 1491650534, -1079551046, 353.9586, 353.9586, 12.814, -1.356, 0.32
