TimeUS,gprLat,gprLng,gprAlt,gprGC,gpGC,gprN,gprE,gprD
 57633604, -353628350, 1491650897, -1078016649, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57653596, -353628350, 1491650897, -1077847609, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57673588, -353628350, 1491650897, -1077683815, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57693580, -353628350, 1491650897, -1077500603, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57713572, -353628350, 1491650897, -1077454301, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57733564, -353628350, 1491650897, -1077277294, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57753556, -353628350, 1491650897, -1077097599, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57773548, -353628350, 1491650897, -1076923584, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57793540, -353628350, 1491650897, -1076748274, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57813532, -353628350, 1491650897, -1076568351, 353.9922, 353.9922, 14.726, -1.549, 0.122
 57833524, -353628241, 1491650248, -1076376982, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57853516, -353628241, 1491650248, -1076184037, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57873508, -353628241, 1491650248, -1076002322, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57893500, -353628241, 1491650248, -1075832710, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57913492, -353628241, 1491650248, -1075446644, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57933484, -353628241, 1491650248, -1075271401, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57953476, -353628241, 1491650248, -1075131578, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57974301, -353628241, 1491650248, -1074970189, 353.9407, 353.9407, 16.673, -1.769, -1.069
 57994293, -353628241, 1491650248, -1074835647, 353.9407, 353.9407, 16.673, -1.769, -1.069
 58014285, -353628241, 1491650248, -1074697769, 353.9407, 353.9407, 16.673, -1.769, -1.069
 58034277, -353628208, 1491651079, -1074586479, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58054269, -353628208, 1491651079, -1074468563, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58074261, -353628208, 1491651079, -1074321560, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58094253, -353628208, 1491651079, -1074195699, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58114245, -353628208, 1491651079, -1074313418, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58134237, -353628208, 1491651079, -1074187839, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58154229, -353628208, 1491651079, -1074056206, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58174221, -353628208, 1491651079, -1073913821, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58194213, -353628208, 1491651079, -1073830480, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58214205, -353628208, 1491651079, -1073722732, 353.9035, 353.9035, 18.342, -1.959, -1.891
 58234197, -353627518, 1491650093, -1073672947, 353.915, 353.915, 19.812, -2.112, -2.406
 58254189, -353627518, 1491650093, -1073610953, 353.915, 353.915, 19.812, -2.112, -2.406
 58274181, -353627518, 1491650093, -1073547788, 353.915, 353.915, 19.812, -2.112, -2.406
 58294173, -353627518, 1491650093, -1073483897, 353.915, 353.915, 19.812, -2.112, -2.406
 58314165, -353627518, 1491650093, -1073261630, 353.915, 353.915, 19.812, -2.112, -2.406
 58334157, -353627518, 1491650093, -1073202608, 353.915, 353.915, 19.812, -2.112, -2.406
 58354149, -353627518, 1491650093, -1073141279, 353.915, 353.915, 19.812, -2.112, -2.406
 58374141, -353627518, 1491650093, -1073082343, 353.915, 353.915, 19.812, -2.112, -2.406
 58394133, -353627518, 1491650093, -1073022408, 353.915, 353.915, 19.812, -2.112, -2.406
 58414125, -353627518, 1491650093, -1072965337, 353.915, 353.915, 19.812, -2.112, -2.406
 58434117, -353627111, 1491650532, -1072891537, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58454109, -353627111, 1491650532, -1072821902, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58474101, -353627111, 1491650532, -1072757023, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58494093, -353627111, 1491650532, -1072692948, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58514085, -353627111, 1491650532, -1072644091, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58534077, -353627111, 1491650532, -1072584138, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58554069, -353627111, 1491650532, -1072529721, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58574061, -353627111, 1491650532, -1072482950, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58594053, -353627111, 1491650532, -1072440590, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58614045, -353627111, 1491650532, -1072392361, 353.8613, 353.8613, 21.087, -2.268, -2.909
 58634037, -353626784, 1491650428, -1072346822, 353.821, 353.821, 22.179, -2.401, -3.302
 58654029, -353626784, 1491650428, -1072303192, 353.821, 353.821, 22.179, -2.401, -3.302
 58674021, -353626784, 1491650428, -1072255870, 353.821, 353.821, 22.179, -2.401, -3.302
 58694013, -353626784, 1491650428, -1072207157, 353.821, 353.821, 22.179, -2.401, -3.302
 58714005, -353626784, 1491650428, -1072139877, 353.821, 353.821, 22.179, -2.401, -3.302
 58733997, -353626784, 1491650428, -1072092484, 353.821, 353.821, 22.179, -2.401, -3.302
 58753989, -353626784, 1491650428, -1072057981, 353.821, 353.821, 22.179, -2.401, -3.302
 58773981, -353626784, 1491650428, -1072018710, 353.821, 353.821, 22.179, -2.401, -3.302
 58793973, -353626784, 1491650428, -1071971287, 353.821, 353.821, 22.179, -2.401, -3.302
 58813965, -353626784, 1491650428, -1071937680, 353.821, 353.821, 22.179, -2.401, -3.302
 58833957, -353626094, 1491650687, -1071894675, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58853949, -353626094, 1491650687, -1071851458, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58873941, -353626094, 1491650687, -1071816709, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58893933, -353626094, 1491650687, -1071785365, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58913925, -353626094, 1491650687, -1071798081, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58933917, -353626094, 1491650687, -1071757550, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58953909, -353626094, 1491650687, -1071717233, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58973901, -353626094, 1491650687, -1071683772, 353.8149, 353.8149, 23.112, -2.504, -3.68
 58993893, -353626094, 1491650687, -1071664241, 353.8149, 353.8149, 23.112, -2.504, -3.68
 59013885, -353626094, 1491650687, -1071642387, 353.8149, 353.8149, 23.112, -2.504, -3.68
 59033877, -353626109, 1491650501, -1071629557, 353.778, 353.778, 23.658, -2.579, -4.11
 59053869, -353626109, 1491650501, -1071619267, 353.778, 353.778, 23.658, -2.579, -4.11
 59073861, -353626109, 1491650501, -1071603367, 353.778, 353.778, 23.658, -2.579, -4.11
 59093853, -353626109, 1491650501, -1071596489, 353.778, 353.778, 23.658, -2.579, -4.11
 59113845, -353626109, 1491650501, -1071578791, 353.778, 353.778, 23.658, -2.579, -4.11
