TimeUS,aF,aR,aD,gyR,gyP,gyY,bAlt,gpLat,gpLng,gpAlt,gpN,gpE,gpD
 56713972, 10.07083, 0.08573213, -9.527271, 0.0008283363, 0.002037206, 0.0007534866, -0.1348226, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56733964, 9.961596, 0.102706, -9.525465, 0.0008260531, 0.00202283, 0.0006945688, -0.1123522, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56753956, 9.834626, 0.05588141, -9.53185, 0.0008259834, 0.002046502, 0.0006611497, -0.1123522, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56773948, 9.73744, 0.0491164, -9.529113, 0.0008268323, 0.002177383, 0.0006396948, -0.1123522, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56793940, 9.763237, 0.009150567, -9.536421, 0.0008299559, 0.002248135, 0.000646329, -0.1123522, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56813932, 9.546141, 0.09156897, -9.536192, 0.000828697, 0.002228885, 0.0005930121, -0.1123522, -353629182, 1491650523, -3, 5.707, -0.601, 0.123
 56833924, 9.39, -0.02013356, -9.540472, 0.0008255754, 0.002190745, 0.0006460401, -0.1123522, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56853916, 9.331817, -0.06385097, -9.540799, 0.0008257272, 0.002151043, 0.0007010343, -0.1123522, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56873908, 9.164988, 0.05150314, -9.543869, 0.0008269893, 0.002044718, 0.0007464496, -0.1123522, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56893900, 9.016342, -0.005189812, -9.548203, 0.0008260636, 0.001986744, 0.0007919067, -0.1123522, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56913892, 8.912492, -0.07749071, -9.548877, 0.000827622, 0.001892817, 0.0008322677, -0.1123522, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56933884, 8.912112, -0.1295706, -9.550154, 0.0008276179, 0.001846038, 0.0008709496, -0.1685283, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56953876, 8.825306, -0.1048967, -9.562198, 0.0008246015, 0.001779619, 0.0009208985, -0.1685283, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56973868, 8.688448, 0.05897425, -9.668228, 0.0008264555, 0.00168534, 0.0008366787, -0.1685283, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 56993860, 8.453936, -0.0380777, -9.77974, 0.0008271473, 0.001596246, 0.0008670063, -0.1685283, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 57013852, 8.38633, -0.107379, -10.14201, 0.0008296092, 0.001550047, 0.0009646434, -0.1685283, -353629272, 1491650723, -6, 7.832, -0.825, 0.181
 57033844, 8.275054, 0.1299334, -10.07386, 0.0008283203, 0.001491023, 0.0009661831, -0.2527924, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
 57053836, 8.103844, -0.09489564, -10.35503, 0.0008282805, 0.001416454, 0.0009249973, -0.2527924, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
 57073828, 7.950069, -0.06236365, -10.30229, 0.0008249087, 0.001369056, 0.0008984489, -0.2527924, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
 57093820, 7.965805, -0.07613137, -10.20102, 0.0008303616, 0.001333775, 0.0008733253, -0.2527924, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
 57113812, 7.907411, -0.0004713959, -10.25935, 0.0008262097, 0.001371401, 0.0008405705, -0.2527924, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
 57133804, 7.734859, 0.06847504, -10.18857, 0.0008289602, 0.001395333, 0.0008406061, -0.1348226, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
 57153796, 7.60017, 0.06189566, -10.2094, 0.0008280718, 0.001439886, 0.0008084971, -0.1348226, -353629026, 1491650676, -10, 9.81, -1.029, 0.239
