TimeUS,m00,m01,m02,m10,m11,m12,m20,m21,m22
 162631314, 0.9871282, -0.09500469, 0.1286549, 0.147728, 0.8498449, -0.5059054, -0.06127331, 0.5183994, 0.8529407
 162634611, 0.9871866, -0.09502293, 0.1281928, 0.1476575, 0.8485525, -0.5080906, -0.06049807, 0.5205088, 0.8517104
 162636307, 0.9873007, -0.095393, 0.127033, 0.1475962, 0.8465727, -0.5114001, -0.05875869, 0.5236553, 0.8499016
 162638806, 0.9873954, -0.09550326, 0.1262126, 0.1473691, 0.8456189, -0.513041, -0.05773064, 0.5251741, 0.8490344
 162641339, 0.9874894, -0.09552673, 0.1254566, 0.1470682, 0.8449526, -0.5142239, -0.05688277, 0.5262414, 0.8484306
 162644090, 0.9875705, -0.09553199, 0.1248133, 0.1468117, 0.8442585, -0.5154358, -0.05613406, 0.5273533, 0.8477899
 162646327, 0.9876993, -0.0959539, 0.1234634, 0.1466315, 0.842608, -0.5181805, -0.05430983, 0.52991, 0.8463132
 162648774, 0.9877335, -0.09613699, 0.1230456, 0.1466902, 0.8413781, -0.5201588, -0.05352136, 0.5318278, 0.8451596
 162651310, 0.9877269, -0.0961821, 0.1230636, 0.1468576, 0.840178, -0.5220478, -0.0531837, 0.5337135, 0.8439915
 162654460, 0.9877757, -0.0962768, 0.1225971, 0.1467476, 0.8395951, -0.5230157, -0.05257761, 0.534613, 0.8434598
 162656384, 0.9879189, -0.09675699, 0.1210561, 0.146438, 0.8384888, -0.5248739, -0.050719, 0.53626, 0.8425276
 162658813, 0.9879372, -0.09691295, 0.1207804, 0.1465174, 0.8374667, -0.5264811, -0.05012672, 0.5378268, 0.8415639
 162661308, 0.9878694, -0.096939, 0.121313, 0.1469469, 0.8361406, -0.5284654, -0.0502058, 0.5398813, 0.8402426
 162664314, 0.9878603, -0.09711544, 0.1212466, 0.1471306, 0.8353586, -0.5296496, -0.04984726, 0.5410588, 0.8395062
 162666298, 0.9880012, -0.09776258, 0.1195659, 0.1468689, 0.8342167, -0.5315186, -0.04778127, 0.5427015, 0.8385654
 162668811, 0.9880441, -0.09809748, 0.1189359, 0.1468831, 0.8333519, -0.5328697, -0.04684226, 0.5439684, 0.8377972
 162671273, 0.9879881, -0.09830434, 0.1192301, 0.1472939, 0.8324184, -0.5342135, -0.04673381, 0.5453584, 0.8368992
 162674092, 0.9879324, -0.09850827, 0.1195233, 0.1476755, 0.8317909, -0.5350849, -0.04670807, 0.5462784, 0.8363004
 162676306, 0.988053, -0.09905752, 0.1180637, 0.1474394, 0.8305887, -0.5370141, -0.04486708, 0.5480056, 0.8352705
